Symbol;GeneID;chromosome;genomic_nucleotide_accession.version;start_position_on_the_genomic_accession;end_position_on_the_genomic_accession;orientation;exon_count
Gm26206;115487594;1;NC_000067.6;3102016;3102125;plus;1
Xkr4;497097;1;NC_000067.6;3199733;3671948;minus;5
Gm18956;100418032;1;NC_000067.6;3252734;3253236;plus;0
Gm7341;664792;1;NC_000067.6;3531795;3532736;plus;0
LOC108167595;108167595;1;NC_000067.6;3671524;3672335;minus;0
Gm27396;115487633;1;NC_000067.6;3783876;3783933;minus;0
Rp1;19888;1;NC_000067.6;4115673;4409266;minus;29
Gm6101;619785;1;NC_000067.6;4256035;4260514;minus;0
Sox17;20671;1;NC_000067.6;4490928;4497426;minus;5
Gm7357;664830;1;NC_000067.6;4522817;4526931;plus;0
Gm22307;115487712;1;NC_000067.6;4529017;4529123;plus;1
Gm37323;108167609;1;NC_000067.6;4547146;4609003;minus;5
Gm39586;105243854;1;NC_000067.6;4595057;4598251;plus;3
Gm46082;108167610;1;NC_000067.6;4602909;4606692;minus;3
Gm29874;102631571;1;NC_000067.6;4608905;4617805;plus;6
Gm7369;664853;1;NC_000067.6;4610244;4611629;plus;0
Gm6085;619596;1;NC_000067.6;4688569;4689409;minus;0
Gm6119;619980;1;NC_000067.6;4692061;4693624;minus;0
Gm2053;100039121;1;NC_000067.6;4735050;4735679;minus;0
Gm6123;620009;1;NC_000067.6;4771105;4772393;plus;0
Mrpl15;27395;1;NC_000067.6;4773198;4785750;minus;6
Lypla1;18777;1;NC_000067.6;4807823;4846735;plus;9
Tcea1;21399;1;NC_000067.6;4857694;4897909;plus;11
Gm6104;619829;1;NC_000067.6;4879202;4880747;minus;0
Rgs20;58175;1;NC_000067.6;4909573;5070299;minus;9
Gm16041;102631647;1;NC_000067.6;4970857;4977253;plus;3
Gm17101;100417473;1;NC_000067.6;5063061;5064658;plus;0
Atp6v1h;108664;1;NC_000067.6;5082978;5163213;plus;20
Gm7182;636659;1;NC_000067.6;5276110;5276798;minus;0
Gm19070;100418201;1;NC_000067.6;5319710;5320327;minus;0
Oprk1;18387;1;NC_000067.6;5588450;5606134;plus;4
Npbwr1;226304;1;NC_000067.6;5913707;5917398;minus;1
Gm19214;100418441;1;NC_000067.6;6048972;6050045;minus;0
Gm46206;108167788;1;NC_000067.6;6163888;6167315;minus;3
4732440D04Rik;654788;1;NC_000067.6;6209866;6216612;minus;2
Rb1cc1;12421;1;NC_000067.6;6214634;6276375;plus;26
Alkal1;620393;1;NC_000067.6;6359331;6394731;plus;5
Gm46083;108167611;1;NC_000067.6;6377512;6383180;minus;0
Gm2147;100039302;1;NC_000067.6;6380274;6382392;plus;0
Gm19026;100418138;1;NC_000067.6;6429658;6441296;minus;0
St18;240690;1;NC_000067.6;6487231;6860940;plus;30
Gm7449;665015;1;NC_000067.6;6910464;6911239;plus;0
