Symbol;GeneID;chromosome;genomic_nucleotide_accession.version;start_position_on_the_genomic_accession;end_position_on_the_genomic_accession;orientation;exon_count
MARS2;92935;2;NC_000002.12;197705304;197708390;plus;1
SEPT1;1731;16;NC_000016.10;30378133;30382850;minus;11
SEPT2;4735;2;NC_000002.12;241315187;241354027;plus;21
SEPT3;55964;22;NC_000022.11;41969455;41998221;plus;13
SEPT4;5414;17;NC_000017.11;58520250;58540818;minus;16
SEPT5;5413;22;NC_000022.11;19714464;19723322;plus;13
SEPT6;23157;X;NC_000023.11;119615724;119693370;minus;12
SEPT7;989;7;NC_000007.14;35800986;35915763;plus;19
SEPT8;23176;5;NC_000005.10;132750817;132778216;minus;15
SEPT9;10801;17;NC_000017.11;77281410;77500596;plus;21
SEPT10;151011;2;NC_000002.12;109542797;109614206;minus;14
SEPT11;55752;4;NC_000004.12;76949714;77040154;plus;13
SEPT12;124404;16;NC_000016.10;4777590;4791610;minus;11
SEPT14;346288;7;NC_000007.14;55793544;55862789;minus;11
DEC1;50514;9;NC_000009.12;115141818;115402644;plus;8
20MER1;107198088;19;NC_000019.10;50780556;50780726;plus;0
20MER2;107198089;19;NC_000019.10;50868514;50868707;plus;0
3.8-1.2;353007;6;NC_000006.12;29995957;29996415;minus;0
3.8-1.3;353008;6;NC_000006.12;29910235;29911400;minus;0
3.8-1.4;353009;6;NC_000006.12;29865915;29867087;minus;0
3.8-1.5;353010;6;NC_000006.12;29765116;29766296;minus;0
5-HT3C2;389180;3;NC_000003.12;184083172;184084219;plus;0
5'URS;107080646;11;NC_000011.10;89167185;89169245;plus;0
A1BG;1;19;NC_000019.10;58346806;58353499;minus;8
A1BG-AS1;503538;19;NC_000019.10;58351970;58355183;plus;4
A1CF;29974;10;NC_000010.11;50799409;50885675;minus;15
A2M;2;12;NC_000012.12;9067708;9116229;minus;37
A2M-AS1;144571;12;NC_000012.12;9065177;9068055;plus;2
A2ML1;144568;12;NC_000012.12;8822472;8887202;plus;40
A2MP1;3;12;NC_000012.12;9228533;9234207;minus;9
A3GALT2;127550;1;NC_000001.11;33306766;33321098;minus;5
A4GALT;53947;22;NC_000022.11;42692112;42721301;minus;10
A4GNT;51146;3;NC_000003.12;138123718;138133310;minus;4
AA06;100506677;17;NC_000017.11;33529787;33533760;minus;3
AAAS;8086;12;NC_000012.12;53307456;53321628;minus;16
AACS;65985;12;NC_000012.12;125065367;125143333;plus;19
AACSP1;729522;5;NC_000005.10;178764861;178818435;minus;11
AADAC;13;3;NC_000003.12;151814008;151828488;plus;5
AADACL2;344752;3;NC_000003.12;151733916;151758016;plus;6
AADACL2-AS1;101928142;3;NC_000003.12;151751179;151928175;minus;4
AADACL3;126767;1;NC_000001.11;12716115;12728759;plus;4
AADACL4;343066;1;NC_000001.11;12644547;12667086;plus;6
